date,first_seen_pkt,url
2026-07-29,2026-07-29 17:27:55,https://www.sbp.org.pk/assets/document/kibor-rates-29-jul-2026.pdf
2026-07-30,2026-07-30 18:12:25,https://www.sbp.org.pk/assets/document/kibor-rates-30-july-2026.pdf
2026-07-31,2026-07-31 18:21:27,https://www.sbp.org.pk/assets/document/kibor-rates-31-july-2026.pdf
2026-08-03,2026-08-03 18:29:15,https://www.sbp.org.pk/assets/document/kibor-rates-03-august-2026.pdf
2026-08-04,2026-08-04 18:21:17,https://www.sbp.org.pk/assets/document/kibor-rates-04-august-2026.pdf
2026-08-05,2026-08-05 18:07:47,https://www.sbp.org.pk/assets/document/kibor-rates-05-august-2026.pdf
2026-08-06,2026-08-06 16:19:20,https://www.sbp.org.pk/assets/document/kibor-rates-06-august-2026.pdf
2026-08-07,2026-08-07 16:35:01,https://www.sbp.org.pk/assets/document/kibor-rates-07-august-2026.pdf
2026-08-10,2026-08-10 17:06:03,https://www.sbp.org.pk/assets/document/kibor-rates-10-august-2026.pdf
2026-08-11,2026-08-11 18:38:28,https://www.sbp.org.pk/assets/document/kibor-rates-11-august-2026.pdf
2026-08-12,2026-08-12 19:04:17,https://www.sbp.org.pk/assets/document/Kibor-12-Aug-26.pdf
2026-08-13,2026-08-13 16:35:31,https://www.sbp.org.pk/assets/document/kibor-rates-13-august-2026.pdf
2026-08-17,2026-08-17 18:11:49,https://www.sbp.org.pk/assets/document/Kibor-17-Aug-26.pdf
2026-08-18,2026-08-18 18:04:47,https://www.sbp.org.pk/assets/document/Kibor-18-Aug-26.pdf
2026-08-19,2026-08-19 16:45:33,https://www.sbp.org.pk/assets/document/kibor-rates-19-august-2026.pdf
2026-08-20,2026-08-20 16:37:46,https://www.sbp.org.pk/assets/document/kibor-rates-20-august-2026.pdf
